"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","20-Aug-2024","813.70","817.95","823.00","813.35","819.00","820.30","819.61","1,03,47,493","8,48,09,42,023.00","1,72,376","35,28,916","34.10"
"SBIN","EQ","21-Aug-2024","820.30","820.30","821.00","811.20","816.60","815.55","815.09","1,46,07,257","11,90,61,94,827.25","2,07,262","68,39,709","46.82"
"SBIN","EQ","22-Aug-2024","815.55","819.00","823.90","817.10","820.00","820.30","820.73","78,32,917","6,42,87,45,634.45","1,70,021","29,54,022","37.71"
"SBIN","EQ","23-Aug-2024","820.30","821.50","822.00","814.50","815.80","815.35","817.21","55,37,747","4,52,54,82,307.75","1,37,876","23,03,827","41.60"
"SBIN","EQ","26-Aug-2024","815.35","818.00","823.45","813.80","815.40","815.05","818.73","85,23,795","6,97,87,12,521.45","1,53,882","38,45,255","45.11"
"SBIN","EQ","27-Aug-2024","815.05","817.80","819.45","811.05","814.80","815.90","816.19","1,28,33,290","10,47,43,72,291.35","1,88,750","54,96,803","42.83"
"SBIN","EQ","28-Aug-2024","815.90","814.75","817.20","806.50","807.95","809.40","812.23","1,03,71,300","8,42,39,16,166.65","1,89,651","49,67,658","47.90"
"SBIN","EQ","29-Aug-2024","809.40","809.55","816.00","806.95","815.70","814.50","812.98","1,82,47,268","14,83,46,79,544.70","3,07,266","1,08,75,917","59.60"
"SBIN","EQ","30-Aug-2024","814.50","817.15","820.70","814.35","816.25","815.60","816.37","89,11,426","7,27,50,03,120.65","1,61,440","50,41,096","56.57"
"SBIN","EQ","02-Sep-2024","815.60","817.30","825.40","813.05","821.90","822.15","819.67","1,18,13,750","9,68,33,69,620.85","2,79,222","54,00,250","45.71"
"SBIN","EQ","03-Sep-2024","822.15","822.15","825.95","816.40","823.40","824.80","821.71","1,05,48,350","8,66,77,21,196.75","1,97,793","49,40,537","46.84"
"SBIN","EQ","04-Sep-2024","824.80","815.45","818.65","813.65","816.25","816.50","816.16","1,07,89,570","8,80,60,44,759.65","1,77,040","55,91,452","51.82"
"SBIN","EQ","05-Sep-2024","816.50","818.35","822.15","814.40","818.00","818.75","819.29","83,95,074","6,87,80,27,979.75","1,46,739","38,68,041","46.08"
"SBIN","T0","05-Sep-2024","816.50","820.00","820.00","820.00","820.00","818.75","820.00","1","820.00","1","1","100.00"
"SBIN","EQ","06-Sep-2024","818.75","811.50","812.90","777.00","783.90","782.50","790.89","4,02,20,096","31,80,95,57,552.90","7,53,751","2,53,89,094","63.13"
"SBIN","EQ","09-Sep-2024","782.50","785.00","788.20","771.00","785.70","784.25","779.38","2,13,22,103","16,61,81,14,365.00","4,16,430","90,42,662","42.41"
"SBIN","EQ","10-Sep-2024","784.25","788.00","788.80","777.50","782.50","782.65","782.41","1,28,24,701","10,03,41,64,045.55","2,41,486","45,74,940","35.67"
"SBIN","EQ","11-Sep-2024","782.65","780.05","788.00","765.40","771.00","768.60","775.71","2,00,60,665","15,56,12,42,684.15","3,07,051","82,39,030","41.07"
"SBIN","EQ","12-Sep-2024","768.60","775.00","789.90","772.75","786.50","787.75","780.47","1,75,78,964","13,71,98,61,669.35","3,08,964","84,38,868","48.01"
"SBIN","EQ","13-Sep-2024","787.75","791.00","795.00","785.10","789.70","790.85","790.44","1,29,50,936","10,23,69,36,227.10","3,37,655","61,87,541","47.78"
"SBIN","EQ","16-Sep-2024","790.85","790.85","795.00","784.40","786.55","785.55","788.19","95,53,736","7,53,01,68,486.30","2,35,580","53,27,116","55.76"
"SBIN","EQ","17-Sep-2024","785.55","785.60","787.50","780.55","782.75","782.90","784.12","1,06,65,630","8,36,31,82,377.75","2,23,966","51,62,399","48.40"
"SBIN","EQ","18-Sep-2024","782.90","783.80","794.75","782.00","790.75","792.75","791.27","1,83,24,412","14,49,95,92,000.20","2,55,355","86,87,589","47.41"
"SBIN","EQ","19-Sep-2024","792.75","795.05","801.35","784.05","791.50","789.95","791.39","1,06,45,478","8,42,47,36,778.30","2,18,449","36,57,423","34.36"
"SBIN","EQ","20-Sep-2024","789.95","794.85","794.85","779.50","784.50","781.70","785.43","2,13,72,244","16,78,63,88,691.70","2,65,805","1,24,19,457","58.11"
"SBIN","EQ","23-Sep-2024","781.70","786.00","805.00","784.50","800.60","801.85","799.91","1,73,09,545","13,84,60,48,008.90","3,23,087","74,88,359","43.26"
"SBIN","EQ","24-Sep-2024","801.85","799.25","804.25","796.50","797.90","798.25","801.04","1,51,80,653","12,16,03,61,927.75","2,41,147","85,66,945","56.43"
"SBIN","EQ","25-Sep-2024","798.25","797.90","798.00","788.70","793.15","793.10","792.31","1,84,65,571","14,63,04,27,178.90","2,22,586","1,02,44,009","55.48"
"SBIN","EQ","26-Sep-2024","793.10","796.00","803.00","791.60","802.00","801.85","796.93","2,31,98,842","18,48,78,42,395.85","2,40,672","1,46,51,334","63.16"
"SBIN","EQ","27-Sep-2024","801.85","801.85","808.00","798.45","802.30","802.65","803.39","1,51,93,681","12,20,64,36,482.05","2,31,524","84,26,718","55.46"
"SBIN","EQ","30-Sep-2024","802.65","801.90","802.60","786.45","788.00","787.90","791.89","1,54,84,573","12,26,21,30,516.90","2,57,965","93,53,248","60.40"
"SBIN","EQ","01-Oct-2024","787.90","788.00","800.35","788.00","795.50","796.95","796.12","1,32,80,535","10,57,29,65,170.25","2,19,272","56,61,416","42.63"
"SBIN","EQ","03-Oct-2024","796.95","789.90","804.00","784.30","793.00","794.10","793.84","1,59,44,135","12,65,70,16,578.30","2,59,077","69,21,704","43.41"
"SBIN","EQ","04-Oct-2024","794.10","792.00","809.85","785.25","797.25","796.65","798.23","2,00,97,454","16,04,24,68,814.10","2,87,081","80,48,243","40.05"
"SBIN","EQ","07-Oct-2024","796.65","800.00","804.00","765.40","774.00","770.65","779.47","2,42,67,990","18,91,60,63,402.30","4,29,825","94,16,159","38.80"
"SBIN","EQ","08-Oct-2024","770.65","772.25","784.40","772.25","781.00","781.45","779.95","85,60,960","6,67,70,95,737.45","2,16,893","31,27,574","36.53"
"SBIN","EQ","09-Oct-2024","781.45","786.70","804.35","782.05","795.80","797.40","796.77","1,87,58,697","14,94,62,96,986.35","3,13,365","52,93,233","28.22"
"SBIN","EQ","10-Oct-2024","797.40","799.00","804.45","795.00","797.00","797.10","799.19","1,02,41,015","8,18,45,02,967.70","2,08,285","46,26,396","45.18"
"SBIN","EQ","11-Oct-2024","797.10","797.20","802.70","793.00","799.00","799.75","796.96","1,43,22,720","11,41,46,20,098.50","1,88,510","99,63,814","69.57"
"SBIN","EQ","14-Oct-2024","799.75","802.00","809.25","800.80","804.35","805.15","804.89","89,67,564","7,21,79,24,843.80","1,87,072","41,39,928","46.17"
"SBIN","EQ","15-Oct-2024","805.15","805.50","807.50","801.60","805.00","804.65","804.80","62,52,104","5,03,17,18,258.10","1,16,721","24,76,744","39.61"
"SBIN","EQ","16-Oct-2024","804.65","802.80","809.00","802.05","805.90","805.45","805.74","64,94,240","5,23,26,80,725.80","1,34,895","31,62,341","48.69"
"SBIN","EQ","17-Oct-2024","805.45","809.50","819.50","806.00","811.30","811.05","812.93","1,85,80,553","15,10,46,84,368.50","2,52,352","88,48,789","47.62"
"SBIN","EQ","18-Oct-2024","811.05","811.10","822.60","802.90","819.95","820.40","815.60","1,17,04,698","9,54,63,86,592.90","2,28,379","51,77,944","44.24"
"SBIN","EQ","21-Oct-2024","820.40","824.70","826.45","809.00","813.00","813.95","815.24","1,03,59,618","8,44,55,28,708.75","2,22,340","48,27,080","46.60"
"SBIN","EQ","22-Oct-2024","813.95","814.00","816.85","787.50","789.75","790.40","799.45","1,66,45,356","13,30,71,44,297.60","3,44,400","69,87,304","41.98"
"SBIN","EQ","23-Oct-2024","790.40","790.00","792.60","779.80","785.20","786.00","786.04","1,38,66,198","10,89,94,24,425.00","2,50,789","60,46,135","43.60"
"SBIN","EQ","24-Oct-2024","786.00","786.05","797.00","784.65","795.00","794.55","792.63","56,07,500","4,44,46,63,312.50","1,33,769","16,17,454","28.84"
"SBIN","EQ","25-Oct-2024","794.55","798.00","800.75","772.00","782.85","780.95","782.04","97,17,125","7,59,91,89,822.90","2,60,505","29,42,126","30.28"
"SBIN","EQ","28-Oct-2024","780.95","783.80","803.95","783.55","793.05","792.05","795.07","1,37,57,251","10,93,79,25,921.65","3,01,023","58,34,489","42.41"
"SBIN","EQ","29-Oct-2024","792.05","796.00","834.85","790.50","832.05","832.70","815.53","2,82,74,791","23,05,88,40,172.45","5,30,275","1,38,42,511","48.96"
"SBIN","EQ","30-Oct-2024","832.70","828.00","833.00","821.05","823.55","822.45","826.52","1,59,77,682","13,20,59,42,901.50","2,16,063","87,12,802","54.53"
"SBIN","EQ","31-Oct-2024","822.45","820.00","828.00","813.55","821.10","820.20","819.50","1,34,02,324","10,98,31,82,912.90","2,01,887","66,75,153","49.81"
"SBIN","EQ","01-Nov-2024","820.20","822.40","825.60","818.90","821.95","821.20","822.73","16,37,141","1,34,69,29,440.80","49,950","6,85,668","41.88"
"SBIN","EQ","04-Nov-2024","821.20","822.70","837.50","807.10","830.25","829.85","821.64","1,44,98,161","11,91,23,19,813.75","2,51,372","50,53,368","34.86"
"SBIN","EQ","05-Nov-2024","829.85","829.85","851.40","826.25","847.85","849.20","840.67","2,62,54,561","22,07,14,34,410.80","4,25,258","1,24,39,000","47.38"
"SBIN","EQ","06-Nov-2024","849.20","849.20","861.40","846.20","855.85","854.80","855.57","1,50,02,433","12,83,55,57,918.45","2,54,740","71,87,073","47.91"
"SBIN","EQ","07-Nov-2024","854.80","861.00","862.40","846.70","858.35","859.60","855.61","1,52,83,847","13,07,70,81,939.55","2,22,825","70,61,658","46.20"
"SBIN","EQ","08-Nov-2024","859.60","859.60","863.50","834.20","841.10","843.15","847.86","2,61,39,105","22,16,24,07,955.75","4,49,937","57,47,213","21.99"
"SBIN","EQ","11-Nov-2024","843.15","846.00","854.00","842.00","845.95","847.65","848.56","1,26,21,337","10,70,99,37,374.20","2,63,092","42,14,314","33.39"
"SBIN","EQ","12-Nov-2024","847.65","852.50","853.40","824.30","826.05","826.70","835.44","1,13,50,729","9,48,28,16,605.05","2,50,017","40,96,588","36.09"
"SBIN","EQ","13-Nov-2024","826.70","823.35","831.75","804.65","812.30","808.65","816.00","1,37,56,706","11,22,55,33,633.65","2,81,743","45,53,129","33.10"
"SBIN","EQ","14-Nov-2024","808.65","808.65","818.00","801.05","805.95","804.25","807.42","94,61,484","7,63,93,90,395.60","2,23,899","30,99,231","32.76"
"SBIN","EQ","18-Nov-2024","804.25","811.00","816.70","799.25","814.15","814.30","809.14","93,22,451","7,54,31,33,216.15","2,24,651","30,84,329","33.08"
"SBIN","EQ","19-Nov-2024","814.30","819.00","820.30","800.10","802.40","803.00","809.12","1,36,77,029","11,06,63,81,236.25","2,49,377","62,09,187","45.40"
"SBIN","EQ","21-Nov-2024","803.00","798.50","798.50","761.55","780.90","780.75","774.76","2,94,86,577","22,84,48,78,143.80","5,46,871","1,37,37,681","46.59"
"SBIN","EQ","22-Nov-2024","780.75","786.00","819.95","784.05","814.55","816.05","807.63","2,06,65,405","16,68,99,34,313.40","3,51,754","70,06,605","33.90"
"SBIN","EQ","25-Nov-2024","816.05","827.00","849.60","825.65","845.45","844.45","843.72","2,34,34,605","19,77,22,51,993.95","3,00,921","1,18,15,984","50.42"
"SBIN","EQ","26-Nov-2024","844.45","844.00","846.70","835.55","838.30","839.40","840.11","88,93,744","7,47,17,04,211.50","1,55,469","34,91,598","39.26"
"SBIN","EQ","27-Nov-2024","839.40","838.50","842.50","832.10","834.85","834.10","836.67","83,75,108","7,00,72,42,077.95","1,51,032","25,13,440","30.01"
"SBIN","EQ","28-Nov-2024","834.10","834.10","845.80","830.50","840.55","838.85","838.80","1,35,05,677","11,32,86,15,478.85","2,54,541","63,15,265","46.76"
"SBIN","EQ","29-Nov-2024","838.85","841.10","844.05","831.55","838.70","838.95","838.26","1,08,22,949","9,07,23,92,177.65","1,81,367","48,44,086","44.76"
"SBIN","EQ","02-Dec-2024","838.95","838.95","842.00","832.70","837.05","836.40","836.12","66,51,119","5,56,11,36,354.10","1,81,197","27,81,548","41.82"
"SBIN","EQ","03-Dec-2024","836.40","838.00","856.60","836.90","853.50","853.95","851.99","1,21,86,182","10,38,25,22,739.05","2,35,478","58,22,458","47.78"
"SBIN","EQ","04-Dec-2024","853.95","853.95","864.00","850.30","858.55","859.70","858.15","1,07,49,716","9,22,48,75,560.05","2,37,875","47,81,386","44.48"
"SBIN","EQ","05-Dec-2024","859.70","860.00","871.45","855.60","864.25","865.45","864.78","1,47,16,036","12,72,61,61,186.90","2,42,317","60,30,572","40.98"
"SBIN","EQ","06-Dec-2024","865.45","865.25","875.45","857.00","862.95","863.65","866.72","1,45,20,568","12,58,51,97,103.00","4,51,441","67,93,005","46.78"
"SBIN","EQ","09-Dec-2024","863.65","859.00","866.85","856.95","858.20","858.05","861.15","96,30,346","8,29,32,12,615.95","1,86,481","52,45,726","54.47"
"SBIN","EQ","10-Dec-2024","858.05","861.80","868.95","858.05","868.30","867.50","863.66","73,79,849","6,37,37,14,111.45","1,58,185","37,23,326","50.45"
"SBIN","EQ","11-Dec-2024","867.50","867.50","869.85","860.95","861.80","861.60","864.62","70,06,973","6,05,83,37,344.15","1,67,495","31,63,485","45.15"
"SBIN","EQ","12-Dec-2024","861.60","861.50","864.30","851.15","853.40","853.70","854.33","88,45,103","7,55,66,72,637.10","1,68,059","47,18,551","53.35"
"SBIN","EQ","13-Dec-2024","853.70","852.60","862.90","835.00","861.90","861.55","851.16","93,79,370","7,98,33,45,804.15","2,28,551","29,89,178","31.87"
"SBIN","EQ","16-Dec-2024","861.55","859.80","866.40","857.80","860.65","860.95","861.45","64,32,713","5,54,14,82,948.45","1,51,330","29,75,734","46.26"
"SBIN","T0","17-Dec-2024","860.95","850.50","850.50","850.50","850.50","850.55","850.50","1","850.50","1","1","100.00"
"SBIN","EQ","17-Dec-2024","860.95","858.55","862.60","847.05","849.80","850.55","852.67","87,91,216","7,49,60,29,790.20","1,93,366","48,08,746","54.70"
"SBIN","EQ","18-Dec-2024","850.55","851.00","852.00","837.00","840.80","838.15","840.95","82,95,338","6,97,59,24,558.00","1,86,668","39,35,001","47.44"
"SBIN","T0","18-Dec-2024","850.55","840.75","840.75","840.75","840.75","838.15","840.75","21","17,655.75","2","21","100.00"
"SBIN","EQ","19-Dec-2024","838.15","824.60","838.00","820.20","832.25","832.80","829.17","94,53,398","7,83,84,54,819.80","1,92,047","40,66,393","43.02"
"SBIN","EQ","20-Dec-2024","832.80","834.90","836.00","810.00","814.00","812.00","819.20","1,02,44,198","8,39,20,39,433.55","1,83,839","43,63,103","42.59"
"SBIN","EQ","23-Dec-2024","812.00","817.30","824.00","812.20","820.50","821.15","820.11","49,33,200","4,04,57,77,516.70","1,27,438","12,03,536","24.40"
"SBIN","EQ","24-Dec-2024","821.15","824.25","826.20","809.20","813.00","812.05","814.35","1,06,02,771","8,63,43,65,124.30","1,55,822","48,86,055","46.08"
"SBIN","EQ","26-Dec-2024","812.05","813.00","822.85","808.00","814.00","812.45","813.70","83,18,714","6,76,89,03,488.30","1,45,477","35,85,920","43.11"
"SBIN","EQ","27-Dec-2024","812.45","816.30","818.30","797.20","800.85","799.65","806.26","1,06,49,800","8,58,65,60,656.85","1,79,691","60,42,312","56.74"
"SBIN","EQ","30-Dec-2024","799.65","802.00","807.95","785.00","793.30","788.30","793.36","2,15,15,438","17,06,95,91,751.15","3,17,867","1,07,54,166","49.98"
"SBIN","EQ","31-Dec-2024","788.30","786.95","799.20","786.00","796.00","794.95","794.69","90,86,044","7,22,06,00,207.70","1,62,712","37,71,662","41.51"
