Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Symbol,20_SMA,20_STD,VWAP,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA20,Relative_Volume,Volume_SMA5,Volume_Spike_Ratio_5Wk,OBV,Normalized_OBV,Normalized_Weekly_Range,High-Low,High-PrevClose,Low-PrevClose,True_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct
2014-01-06,1770.0,1819.4,1752.25,1807.7,2913046,MARUTI,,,1807.7,,0.9791447695967251,1.006472312883775,0.9693256624439895,0.0,0.0,0.0,,,,,2913046,,3.7146650439785414,67.15000000000009,,,67.15000000000009,67.15000000000009,,,,,,0.0
2014-01-13,1838.0,1860.0,1765.0,1782.75,5191083,MARUTI,,,1791.718329317068,-1.380206892736624,1.030991445800028,1.0433319310054692,0.9900434721637918,-0.9330154723507749,-1.1995913215938498,-1.2828962744823107,,,,,-2278037,,5.328845884167718,95.0,52.299999999999955,42.700000000000045,95.0,70.86333333333341,,,0.0,,,-0.5005434822161168
2014-01-20,1783.0,1810.8,1759.1,1778.2,2223209,MARUTI,,,1788.8081823457312,-0.25522367129434675,1.0026993589022606,1.018333145877854,0.9892588010347542,-0.7941863807345906,-1.2501750222077443,-1.4135510003874119,,,,,-4501246,,2.907434484309979,51.700000000000045,28.049999999999955,23.65000000000009,51.700000000000045,68.3082222222223,,,0.0,,,-0.5930307369133486
2014-01-27,1782.0,1819.9,1690.0,1702.3,2761313,MARUTI,,,1770.557549143147,-4.26836126419976,1.0468190095752805,1.0690830053457088,0.9927744815837397,-3.525513412137419,-4.941076975431482,-5.440646002358469,,,,,-7262559,,7.630852376196915,129.9000000000001,41.700000000000045,88.20000000000005,129.9000000000001,76.52045925925934,,,0.0,,,-3.8551443400515297
2014-02-03,1715.0,1751.5,1540.4,1618.5,16675072,MARUTI,,,1685.3675821452175,-4.922751571403394,1.0596231078158789,1.0821748532591906,0.9517454433117084,-5.923790127270738,-8.892464099180208,-9.991644969002317,,,5952744.6,2.801240960346258,-23937631,,13.042940994748218,211.0999999999999,49.200000000000045,161.89999999999986,211.0999999999999,94.4643980246914,,,0.0,,,-3.967536984430733
2014-02-10,1601.0,1701.6,1590.0,1688.85,4386364,MARUTI,,,1685.8148768274002,4.346617238183503,0.9479823548568553,1.0075495159428014,0.9414690469846345,-1.0076499081180377,-3.7341317521338757,-4.959057504891534,,,6247408.2,0.70210939634135,-19551267,,6.608046895816674,111.59999999999991,83.09999999999991,28.5,111.59999999999991,96.74914495473254,,,32.415789009707765,,,0.18003893632209556
2014-02-17,1690.25,1698.0,1615.65,1665.7,2245788,MARUTI,,,1684.5736991115066,-1.370755247653721,1.0147385483580476,1.0193912469232154,0.9699525724920454,-1.6076402502752176,-4.436430025776181,-5.8829694692169765,,,5658349.2,0.39689809176146285,-21797055,,4.943867443117003,82.34999999999991,9.150000000000091,73.19999999999982,82.34999999999991,94.8292589607682,,,28.86326622212256,,,-1.1203842919701927
2014-02-24,1675.0,1733.65,1645.8,1684.4,2308494,MARUTI,,,1684.5633389540596,1.1226511376598358,0.9944193778199952,1.029238898123961,0.9770838280693421,-0.3197365490712612,-2.808848336297144,-4.315180711906392,,,5675406.2,0.4067539694339411,-19488561,,5.215507005461893,87.85000000000014,67.95000000000005,19.90000000000009,87.85000000000014,93.89869109933247,,,35.45612576842363,,,-0.009696219209007073
2014-03-03,1690.1,1693.9,1573.0,1582.2,3659238,MARUTI,,,1675.7215087551447,-6.067442412728575,1.0681961825306534,1.0705979016559222,0.994185311591455,-4.53316657955405,-8.099693449081162,-10.132167988796526,,,5854991.2,0.6249775405298644,-23147799,,7.641259006446726,120.90000000000009,9.5,111.40000000000009,120.90000000000009,97.49886561942148,,,22.377755603245703,,,-5.580969646001598
2014-03-10,1577.0,1817.25,1550.0,1801.1,4217624,MARUTI,,,1687.0737062476944,13.835166224244722,0.8755760368663595,1.0089667425462219,0.8605851979345955,5.447642676819558,4.318629896744263,2.981868575194202,,,3363501.6,1.2539384550909682,-18930175,,14.838154461162622,267.25,235.04999999999995,32.200000000000045,267.25,120.13235020349862,,,59.39413264698084,,,6.758821107224598
2014-03-17,1804.0,1811.7,1680.0,1738.45,3377648,MARUTI,,,1690.5471836217544,-3.478429848425957,1.0377060024734677,1.0421352354108544,0.9663780954298369,1.3601193496964479,0.7461249012590593,-0.4715849176658766,,,3161758.4,1.0682814980423552,-22307823,,7.57571399810176,131.70000000000005,10.600000000000136,121.09999999999991,131.70000000000005,121.6747035096988,,-3.8308347624052663,51.313223361336256,,,2.8335687310200233
2014-03-24,1900.0,1909.0,1848.05,1886.3,3378792,MARUTI,,,1702.9475760190207,8.504702464839365,1.0072628956157557,1.0120341409107778,0.9797222074961565,6.061071757224821,7.307775994392859,6.786517927455931,,,3388359.2,0.9971764504778595,-18929031,,3.231193341462124,60.950000000000045,170.54999999999995,109.59999999999991,170.54999999999995,128.19140970840562,,5.8084420137428205,64.47465542199359,,,10.766768546663194
2014-03-31,1881.0,1980.0,1875.85,1971.75,2619824,MARUTI,,,1715.532396722727,4.530032338440337,0.9539748953974896,1.00418410041841,0.9513630024090275,6.754743977229423,9.706964237667016,9.923946427968446,,,3450625.2,0.7592316893761745,-16309207,,5.282109800938257,104.15000000000009,93.70000000000005,10.450000000000045,104.15000000000009,124.98588841395156,,10.884602406928344,69.90074029820454,,,14.935165536176353
2014-04-07,1976.0,1980.0,1872.0,1904.95,1380359,MARUTI,,,1720.0924608897992,-3.387853429694432,1.037297566865272,1.0393973595107482,0.9827029580828893,2.32330382673284,5.606314407481229,6.201516884205822,,,2994849.4,0.46091098938063463,-17689566,,5.669440142785899,108.0,8.25,99.75,108.0,122.72110329209136,,11.904482171180163,61.43651596885785,82.92766151046406,,10.746953626816929
