"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","02-Aug-2024","3,779.30","3,730.35","3,748.90","3,657.10","3,657.90","3,665.70","3,688.92","25,12,525","9,26,84,99,167.85","1,80,833","13,09,768","52.13"
"LT","EQ","05-Aug-2024","3,665.70","3,597.00","3,607.90","3,511.50","3,530.00","3,528.00","3,547.86","29,00,685","10,29,12,25,584.90","1,95,790","16,26,717","56.08"
"LT","EQ","06-Aug-2024","3,528.00","3,548.00","3,634.90","3,546.00","3,588.00","3,576.20","3,598.72","21,25,532","7,64,91,92,775.90","1,22,533","11,52,576","54.23"
"LT","EQ","07-Aug-2024","3,576.20","3,630.00","3,655.75","3,610.35","3,641.20","3,638.25","3,634.09","16,13,097","5,86,21,38,962.45","93,561","9,37,848","58.14"
"LT","EQ","08-Aug-2024","3,638.25","3,621.00","3,628.75","3,547.45","3,558.00","3,553.55","3,574.92","20,38,088","7,28,60,05,508.95","1,49,101","10,82,518","53.11"
"LT","EQ","09-Aug-2024","3,553.55","3,600.00","3,605.55","3,575.70","3,594.00","3,592.05","3,591.14","8,48,232","3,04,61,21,443.10","83,218","4,26,982","50.34"
"LT","EQ","12-Aug-2024","3,592.05","3,579.00","3,611.00","3,563.00","3,573.00","3,571.95","3,584.31","19,65,035","7,04,32,99,073.45","1,21,950","12,47,326","63.48"
"LT","EQ","13-Aug-2024","3,571.95","3,580.00","3,607.00","3,545.20","3,551.00","3,551.80","3,573.19","13,16,218","4,70,30,98,657.50","85,677","8,28,185","62.92"
"LT","EQ","14-Aug-2024","3,551.80","3,558.95","3,578.70","3,536.50","3,540.05","3,545.20","3,556.86","15,84,372","5,63,53,85,430.60","86,539","11,01,066","69.50"
"LT","EQ","16-Aug-2024","3,545.20","3,578.00","3,580.90","3,533.00","3,569.00","3,568.35","3,561.97","28,08,865","10,00,50,82,527.00","1,49,879","19,02,807","67.74"
"LT","EQ","19-Aug-2024","3,568.35","3,599.85","3,599.90","3,547.00","3,558.10","3,555.05","3,561.38","18,98,535","6,76,14,08,510.40","98,035","12,56,733","66.19"
"LT","EQ","20-Aug-2024","3,555.05","3,562.00","3,580.00","3,548.00","3,579.00","3,572.70","3,568.41","12,85,569","4,58,74,42,113.55","78,801","9,17,563","71.37"
"LT","EQ","21-Aug-2024","3,572.70","3,590.00","3,615.30","3,581.90","3,593.75","3,596.05","3,599.68","17,14,248","6,17,07,48,515.65","74,473","9,75,413","56.90"
"LT","EQ","22-Aug-2024","3,596.05","3,607.05","3,612.15","3,583.95","3,602.30","3,606.50","3,603.84","17,34,927","6,25,24,03,568.80","84,632","11,49,687","66.27"
"LT","EQ","23-Aug-2024","3,606.50","3,606.50","3,622.00","3,587.05","3,598.25","3,598.55","3,602.56","18,25,180","6,57,53,12,026.10","79,918","10,45,735","57.29"
"LT","EQ","26-Aug-2024","3,598.55","3,611.00","3,648.00","3,594.70","3,638.00","3,641.90","3,628.56","16,06,911","5,83,07,77,895.90","73,397","10,72,873","66.77"
"LT","EQ","27-Aug-2024","3,641.90","3,642.65","3,737.00","3,636.00","3,700.10","3,702.70","3,706.72","33,15,435","12,28,93,83,661.35","1,31,931","16,82,903","50.76"
"LT","EQ","28-Aug-2024","3,702.70","3,705.00","3,724.40","3,685.00","3,690.00","3,689.05","3,700.41","12,78,175","4,72,97,67,635.10","82,201","7,76,094","60.72"
"LT","EQ","29-Aug-2024","3,689.05","3,690.50","3,710.00","3,651.55","3,690.00","3,683.45","3,684.34","21,65,489","7,97,83,91,207.10","1,32,112","11,65,697","53.83"
"LT","EQ","30-Aug-2024","3,683.45","3,718.35","3,745.00","3,666.40","3,707.00","3,704.65","3,700.93","25,92,912","9,59,61,96,230.95","1,33,375","13,93,909","53.76"
"LT","EQ","02-Sep-2024","3,704.65","3,706.00","3,721.95","3,666.35","3,677.80","3,683.10","3,689.20","12,77,813","4,71,41,12,302.85","1,15,019","8,03,605","62.89"
"LT","EQ","03-Sep-2024","3,683.10","3,693.95","3,713.95","3,666.90","3,686.30","3,690.15","3,690.76","12,11,993","4,47,31,74,177.00","93,945","7,31,753","60.38"
"LT","EQ","04-Sep-2024","3,690.15","3,650.00","3,681.00","3,631.10","3,654.00","3,650.80","3,646.74","19,30,121","7,03,86,50,188.80","1,24,315","13,35,787","69.21"
"LT","EQ","05-Sep-2024","3,650.80","3,668.00","3,668.00","3,608.40","3,625.00","3,624.15","3,626.07","29,58,770","10,72,86,99,384.20","1,72,903","22,66,937","76.62"
"LT","EQ","06-Sep-2024","3,624.15","3,615.10","3,623.80","3,536.20","3,572.90","3,574.75","3,568.94","30,96,557","11,05,14,17,112.80","2,02,312","20,38,272","65.82"
"LT","EQ","09-Sep-2024","3,574.75","3,584.00","3,594.00","3,553.85","3,576.00","3,578.30","3,577.27","14,54,589","5,20,34,51,218.15","1,16,687","9,91,689","68.18"
"LT","EQ","10-Sep-2024","3,578.30","3,585.00","3,625.00","3,571.00","3,600.00","3,596.15","3,598.83","12,03,483","4,33,11,29,794.85","93,770","6,83,318","56.78"
"LT","EQ","11-Sep-2024","3,596.15","3,595.00","3,603.95","3,516.40","3,540.00","3,536.95","3,561.46","18,65,165","6,64,27,07,258.40","1,26,237","12,30,622","65.98"
"LT","EQ","12-Sep-2024","3,536.95","3,558.00","3,638.05","3,534.00","3,620.05","3,622.00","3,579.25","37,51,523","13,42,76,37,791.70","1,89,229","21,03,474","56.07"
"LT","EQ","13-Sep-2024","3,622.00","3,622.00","3,634.75","3,600.05","3,608.35","3,613.00","3,611.45","17,52,455","6,32,89,01,570.00","1,00,344","10,80,608","61.66"
"LT","EQ","16-Sep-2024","3,613.00","3,619.15","3,670.00","3,613.00","3,657.85","3,662.25","3,651.58","10,45,964","3,81,94,18,658.45","73,047","5,73,422","54.82"
"LT","EQ","17-Sep-2024","3,662.25","3,668.00","3,705.00","3,659.70","3,686.00","3,695.20","3,684.21","12,89,060","4,74,91,71,727.50","1,16,988","8,13,270","63.09"
"LT","EQ","18-Sep-2024","3,695.20","3,689.00","3,757.95","3,684.20","3,726.05","3,730.45","3,729.67","22,49,929","8,39,14,86,009.75","1,07,286","14,21,684","63.19"
"LT","EQ","19-Sep-2024","3,730.45","3,750.00","3,750.40","3,674.00","3,689.00","3,683.70","3,693.71","17,11,564","6,32,20,17,894.50","1,22,388","9,16,050","53.52"
"LT","EQ","20-Sep-2024","3,683.70","3,700.00","3,809.90","3,680.25","3,793.00","3,793.90","3,773.54","54,01,701","20,38,35,10,292.55","2,52,442","25,02,587","46.33"
"LT","EQ","23-Sep-2024","3,793.90","3,800.00","3,838.80","3,749.00","3,785.00","3,787.70","3,779.30","19,37,874","7,32,38,09,212.65","1,33,184","10,49,822","54.17"
"LT","EQ","24-Sep-2024","3,787.70","3,787.70","3,831.80","3,775.00","3,792.90","3,791.60","3,808.00","26,76,546","10,19,22,81,538.95","1,47,710","19,64,769","73.41"
"LT","EQ","25-Sep-2024","3,791.60","3,787.55","3,813.20","3,778.00","3,793.00","3,793.85","3,793.35","21,13,862","8,01,86,17,548.20","1,26,389","14,47,695","68.49"
"LT","EQ","26-Sep-2024","3,793.85","3,801.00","3,802.95","3,736.40","3,760.00","3,762.15","3,766.72","27,50,597","10,36,07,35,141.55","1,54,596","17,32,018","62.97"
"LT","EQ","27-Sep-2024","3,762.15","3,738.00","3,738.00","3,651.00","3,705.00","3,705.65","3,698.43","40,95,425","15,14,66,33,646.50","2,44,106","26,24,665","64.09"
"LT","EQ","30-Sep-2024","3,705.65","3,699.00","3,715.65","3,665.00","3,680.00","3,675.55","3,677.99","18,37,697","6,75,90,38,580.45","1,32,958","13,26,527","72.18"
"LT","EQ","01-Oct-2024","3,675.55","3,667.00","3,724.00","3,639.35","3,647.00","3,653.50","3,672.74","16,74,100","6,14,85,27,670.40","1,09,900","10,45,848","62.47"
"LT","EQ","03-Oct-2024","3,653.50","3,582.50","3,617.00","3,485.40","3,505.50","3,497.65","3,535.43","53,15,877","18,79,39,04,808.10","4,02,180","38,26,671","71.99"
"LT","EQ","04-Oct-2024","3,497.65","3,515.00","3,553.55","3,468.50","3,505.00","3,493.95","3,499.42","34,45,879","12,05,85,61,847.90","2,43,711","17,15,384","49.78"
"LT","EQ","07-Oct-2024","3,493.95","3,505.00","3,512.95","3,429.00","3,475.00","3,468.35","3,461.80","23,04,227","7,97,67,71,660.60","1,70,269","14,37,499","62.39"
"LT","EQ","08-Oct-2024","3,468.35","3,492.95","3,538.50","3,469.00","3,533.10","3,532.40","3,511.48","22,49,452","7,89,89,00,834.10","1,53,720","14,12,503","62.79"
"LT","EQ","09-Oct-2024","3,532.40","3,542.05","3,557.70","3,481.00","3,491.80","3,487.10","3,516.48","16,45,791","5,78,73,87,384.10","1,54,726","10,54,128","64.05"
"LT","EQ","10-Oct-2024","3,487.10","3,515.00","3,554.90","3,455.50","3,461.85","3,460.35","3,491.73","26,86,116","9,37,91,83,252.55","1,65,856","16,84,251","62.70"
"LT","EQ","11-Oct-2024","3,460.35","3,469.40","3,497.10","3,447.00","3,491.90","3,482.55","3,479.84","12,80,465","4,45,58,14,669.10","95,819","6,32,277","49.38"
"LT","EQ","14-Oct-2024","3,482.55","3,510.00","3,573.85","3,501.30","3,552.75","3,555.05","3,550.86","19,74,378","7,01,07,36,483.30","1,01,616","11,14,162","56.43"
"LT","EQ","15-Oct-2024","3,555.05","3,570.00","3,570.00","3,520.15","3,545.00","3,551.90","3,545.95","12,31,552","4,36,70,18,655.80","86,576","7,95,565","64.60"
"LT","EQ","16-Oct-2024","3,551.90","3,550.00","3,581.90","3,513.55","3,531.00","3,532.60","3,536.55","19,61,835","6,93,81,25,640.00","1,09,635","12,44,339","63.43"
"LT","EQ","17-Oct-2024","3,532.60","3,549.90","3,583.00","3,521.80","3,566.00","3,570.30","3,555.58","29,68,537","10,55,48,79,515.55","1,94,714","19,17,213","64.58"
"LT","EQ","18-Oct-2024","3,570.30","3,569.95","3,592.45","3,540.25","3,579.25","3,577.80","3,575.10","21,02,609","7,51,70,44,754.05","2,10,857","13,34,248","63.46"
"LT","EQ","21-Oct-2024","3,577.80","3,580.00","3,621.95","3,571.30","3,577.00","3,585.60","3,595.64","17,50,549","6,29,43,52,702.05","1,62,386","11,33,452","64.75"
"LT","EQ","22-Oct-2024","3,585.60","3,585.00","3,591.65","3,500.00","3,504.00","3,511.90","3,531.83","13,63,574","4,81,59,05,253.40","1,25,455","8,35,341","61.26"
"LT","EQ","23-Oct-2024","3,511.90","3,501.05","3,513.95","3,443.00","3,449.00","3,455.40","3,478.90","21,25,268","7,39,35,98,650.30","1,73,225","13,00,799","61.21"
"LT","EQ","24-Oct-2024","3,455.40","3,444.00","3,474.60","3,416.75","3,449.90","3,442.65","3,440.98","19,24,421","6,62,18,96,969.80","1,39,822","13,00,648","67.59"
"LT","EQ","25-Oct-2024","3,442.65","3,425.00","3,435.00","3,315.05","3,337.00","3,326.40","3,343.80","32,36,774","10,82,31,21,242.90","2,56,194","18,28,655","56.50"
"LT","EQ","28-Oct-2024","3,326.40","3,316.00","3,373.00","3,262.55","3,360.00","3,340.80","3,320.79","29,91,674","9,93,47,27,536.30","2,06,122","18,68,784","62.47"
"LT","EQ","29-Oct-2024","3,340.80","3,316.00","3,384.40","3,316.00","3,381.90","3,380.90","3,363.30","22,53,467","7,57,90,88,509.10","1,38,485","14,04,511","62.33"
"LT","EQ","30-Oct-2024","3,380.90","3,379.95","3,438.40","3,353.00","3,402.00","3,408.35","3,407.65","17,85,128","6,08,30,90,227.50","1,08,896","9,93,055","55.63"
"LT","EQ","31-Oct-2024","3,408.35","3,530.00","3,654.95","3,508.35","3,620.75","3,622.30","3,615.13","76,37,083","27,60,90,20,401.80","3,68,713","31,60,810","41.39"
"LT","EQ","01-Nov-2024","3,622.30","3,624.95","3,641.90","3,620.00","3,627.00","3,626.35","3,630.71","2,12,796","77,26,00,597.40","21,833","1,02,915","48.36"
"LT","EQ","04-Nov-2024","3,626.35","3,624.95","3,624.95","3,530.90","3,575.90","3,574.45","3,568.33","17,24,189","6,15,24,78,903.35","1,82,630","9,97,916","57.88"
"LT","EQ","05-Nov-2024","3,574.45","3,556.00","3,585.00","3,541.90","3,566.00","3,574.80","3,562.86","12,51,506","4,45,89,41,638.55","1,37,797","6,67,217","53.31"
"LT","EQ","06-Nov-2024","3,574.80","3,594.00","3,659.90","3,557.40","3,648.00","3,645.45","3,622.22","18,19,732","6,59,14,65,491.25","1,37,085","10,27,524","56.47"
"LT","EQ","07-Nov-2024","3,645.45","3,647.35","3,663.00","3,620.00","3,642.00","3,646.55","3,643.10","15,81,009","5,75,97,76,547.00","97,553","8,73,412","55.24"
"LT","EQ","08-Nov-2024","3,646.55","3,640.40","3,667.00","3,620.65","3,650.05","3,660.30","3,656.21","16,22,142","5,93,08,93,373.20","1,25,639","10,89,533","67.17"
"LT","EQ","11-Nov-2024","3,660.30","3,646.00","3,661.00","3,606.00","3,625.00","3,628.85","3,640.18","9,26,127","3,37,12,67,442.50","1,04,290","4,98,618","53.84"
"LT","EQ","12-Nov-2024","3,628.85","3,650.00","3,651.00","3,580.00","3,585.05","3,591.35","3,612.49","11,16,206","4,03,22,82,495.50","95,427","5,79,753","51.94"
"LT","EQ","13-Nov-2024","3,591.35","3,585.00","3,604.85","3,535.65","3,548.95","3,547.95","3,565.63","15,68,694","5,59,33,85,891.15","1,21,033","9,81,620","62.58"
"LT","EQ","14-Nov-2024","3,547.95","3,558.00","3,565.75","3,500.15","3,535.00","3,526.25","3,524.68","12,91,765","4,55,30,57,913.30","1,38,758","6,07,127","47.00"
"LT","EQ","18-Nov-2024","3,526.25","3,521.10","3,568.30","3,510.85","3,538.05","3,542.15","3,539.95","12,33,217","4,36,55,29,595.70","1,19,934","7,86,814","63.80"
"LT","EQ","19-Nov-2024","3,542.15","3,559.90","3,607.00","3,495.00","3,511.20","3,505.90","3,561.83","18,26,460","6,50,55,45,221.10","1,38,984","12,17,157","66.64"
"LT","EQ","21-Nov-2024","3,505.90","3,530.00","3,530.55","3,452.45","3,490.05","3,483.50","3,481.48","15,10,581","5,25,90,63,798.60","1,72,452","7,48,315","49.54"
"LT","EQ","22-Nov-2024","3,483.50","3,500.00","3,613.50","3,473.10","3,605.00","3,603.50","3,558.59","25,34,018","9,01,75,42,904.75","1,48,535","16,22,199","64.02"
"LT","EQ","25-Nov-2024","3,603.50","3,660.00","3,761.00","3,654.00","3,757.00","3,753.00","3,741.78","47,53,829","17,78,77,93,454.40","2,47,339","30,83,411","64.86"
"LT","EQ","26-Nov-2024","3,753.00","3,754.90","3,754.90","3,690.00","3,700.00","3,702.60","3,712.45","11,41,534","4,23,78,85,362.35","1,04,955","6,11,066","53.53"
"LT","EQ","27-Nov-2024","3,702.60","3,704.00","3,720.00","3,685.00","3,697.00","3,698.70","3,701.27","9,71,816","3,59,69,57,750.15","77,237","4,84,837","49.89"
"LT","EQ","28-Nov-2024","3,698.70","3,700.00","3,720.50","3,648.00","3,667.00","3,666.05","3,677.58","21,24,283","7,81,22,27,210.70","1,79,728","12,86,542","60.56"
"LT","EQ","29-Nov-2024","3,666.05","3,635.10","3,750.00","3,635.10","3,722.00","3,724.80","3,722.73","20,94,305","7,79,65,35,083.20","1,43,088","11,73,010","56.01"
"LT","EQ","02-Dec-2024","3,724.80","3,706.85","3,717.85","3,672.90","3,716.00","3,704.05","3,695.08","11,58,369","4,28,02,65,838.15","1,04,160","6,87,750","59.37"
"LT","EQ","03-Dec-2024","3,704.05","3,721.00","3,798.85","3,701.50","3,773.00","3,787.05","3,761.27","32,52,670","12,23,41,60,548.85","2,85,639","21,68,186","66.66"
"LT","EQ","04-Dec-2024","3,787.05","3,775.00","3,835.00","3,758.05","3,805.00","3,789.90","3,799.10","25,10,166","9,53,63,68,353.35","1,78,083","15,14,629","60.34"
"LT","EQ","05-Dec-2024","3,789.90","3,810.00","3,884.00","3,760.00","3,828.00","3,831.55","3,824.55","27,65,170","10,57,55,33,572.80","2,11,606","12,84,366","46.45"
"LT","EQ","06-Dec-2024","3,831.55","3,832.00","3,883.95","3,800.00","3,861.20","3,866.70","3,856.47","18,56,562","7,15,97,70,118.00","1,47,414","10,73,408","57.82"
"LT","EQ","09-Dec-2024","3,866.70","3,867.50","3,959.00","3,867.50","3,954.75","3,947.30","3,938.78","33,32,753","13,12,69,69,162.15","2,14,643","19,38,046","58.15"
"LT","EQ","10-Dec-2024","3,947.30","3,955.00","3,963.50","3,901.30","3,922.95","3,923.15","3,927.94","23,49,493","9,22,86,65,089.70","1,31,218","16,61,742","70.73"
"LT","EQ","11-Dec-2024","3,923.15","3,923.15","3,947.65","3,902.00","3,913.15","3,916.75","3,920.30","12,37,958","4,85,31,62,175.95","1,33,277","8,33,110","67.30"
"LT","EQ","12-Dec-2024","3,916.75","3,930.00","3,959.00","3,846.95","3,863.20","3,859.90","3,867.89","18,99,867","7,34,84,71,534.05","1,69,801","12,27,602","64.62"
"LT","EQ","13-Dec-2024","3,859.90","3,859.00","3,898.00","3,794.20","3,889.25","3,887.00","3,852.29","23,00,361","8,86,16,56,006.60","1,66,323","10,02,507","43.58"
"LT","EQ","16-Dec-2024","3,887.00","3,882.00","3,914.40","3,857.25","3,872.30","3,877.85","3,877.81","9,18,660","3,56,23,89,173.30","81,821","5,21,166","56.73"
"LT","EQ","17-Dec-2024","3,877.85","3,863.05","3,875.40","3,797.00","3,802.95","3,807.20","3,818.67","16,90,180","6,45,42,42,086.40","1,16,461","11,27,973","66.74"
"LT","EQ","18-Dec-2024","3,807.20","3,807.20","3,819.00","3,745.00","3,760.40","3,758.15","3,763.15","13,18,341","4,96,11,15,143.30","1,20,658","7,84,839","59.53"
"LT","EQ","19-Dec-2024","3,758.15","3,702.15","3,762.20","3,700.00","3,713.15","3,716.35","3,724.67","18,56,838","6,91,61,14,961.40","1,42,412","12,29,869","66.23"
"LT","EQ","20-Dec-2024","3,716.35","3,716.35","3,725.00","3,607.10","3,629.00","3,629.85","3,654.85","27,96,593","10,22,11,32,562.15","1,54,712","15,88,176","56.79"
"LT","EQ","23-Dec-2024","3,629.85","3,670.00","3,700.00","3,617.05","3,642.90","3,640.50","3,644.90","12,17,612","4,43,80,75,173.95","1,07,539","5,85,248","48.07"
"LT","EQ","24-Dec-2024","3,640.50","3,647.95","3,679.00","3,632.40","3,633.00","3,639.75","3,651.50","6,27,922","2,29,28,60,072.10","71,920","3,16,352","50.38"
"LT","EQ","26-Dec-2024","3,639.75","3,658.00","3,665.15","3,610.35","3,632.40","3,629.50","3,634.04","11,24,705","4,08,72,19,624.30","80,516","6,83,487","60.77"
"LT","EQ","27-Dec-2024","3,629.50","3,632.40","3,643.65","3,603.50","3,610.65","3,608.10","3,617.13","13,09,122","4,73,52,58,789.05","75,927","9,21,459","70.39"
"LT","EQ","30-Dec-2024","3,608.10","3,607.90","3,623.00","3,566.00","3,590.00","3,578.95","3,590.43","15,91,690","5,71,48,56,382.30","99,927","10,57,495","66.44"
"LT","EQ","31-Dec-2024","3,578.95","3,562.55","3,620.60","3,550.00","3,609.95","3,607.65","3,593.79","12,67,628","4,55,55,87,428.95","98,165","8,07,113","63.67"
